mn,beat,mc,quarterbeats,quarterbeats_all_endings,mc_onset,mn_onset,timesig,gracenote,start
72,3,72,215,215,1/2,1/2,3/4,,268.82
73,1,73,216,216,0,0,3/4,grace32,269.92
73,2,73,217,217,1/4,1/4,3/4,,271.06
73,3,73,218,218,1/2,1/2,3/4,,272.14
74,1,74,219,219,0,0,3/4,,273.2
74,2,,,,,,,,274.75
74,3,74,221,221,1/2,1/2,3/4,,276.3
75,1,75,222,222,0,0,3/4,,277.54
75,2,75,223,223,1/4,1/4,3/4,,279.06
75,3,75,224,224,1/2,1/2,3/4,grace16,280.34
76,1,76,225,225,0,0,3/4,,281.36
76,2,76,226,226,1/4,1/4,3/4,,282.74
76,3,76,227,227,1/2,1/2,3/4,grace16,284.04
77,1,77,228,228,0,0,3/4,,285.16
77,2,77,229,229,1/4,1/4,3/4,,286.62
77,3,77,230,230,1/2,1/2,3/4,grace16,288.08
78,1,78,231,231,0,0,3/4,,289.36
78,2,78,232,232,1/4,1/4,3/4,,290.98
78,3,78,233,233,1/2,1/2,3/4,,292.64
79,1,79,234,234,0,0,3/4,,295.38
79,2,,,,,,,,297.2
79,3,79,236,236,1/2,1/2,3/4,,299.02
